timestamp,elapsed_sec,event_type,severity,message
21:07:01,319.4,NO_FACE,CRITICAL,No face detected in frame
21:07:04,322.4,NO_FACE,CRITICAL,No face detected in frame
21:07:07,325.5,NO_FACE,CRITICAL,No face detected in frame
21:07:10,328.7,NO_FACE,CRITICAL,No face detected in frame
21:07:13,331.9,NO_FACE,CRITICAL,No face detected in frame
21:07:17,335.0,NO_FACE,CRITICAL,No face detected in frame
21:07:20,338.1,NO_FACE,CRITICAL,No face detected in frame
21:07:23,341.2,NO_FACE,CRITICAL,No face detected in frame
21:07:26,344.2,NO_FACE,CRITICAL,No face detected in frame
21:07:29,347.2,NO_FACE,CRITICAL,No face detected in frame
21:07:32,350.4,NO_FACE,CRITICAL,No face detected in frame
21:07:35,353.6,NO_FACE,CRITICAL,No face detected in frame
21:07:38,356.6,NO_FACE,CRITICAL,No face detected in frame
21:07:41,359.8,NO_FACE,CRITICAL,No face detected in frame
21:07:44,362.8,NO_FACE,CRITICAL,No face detected in frame
21:07:47,365.9,NO_FACE,CRITICAL,No face detected in frame
21:07:51,369.1,NO_FACE,CRITICAL,No face detected in frame
21:07:54,372.2,NO_FACE,CRITICAL,No face detected in frame
21:07:57,375.3,NO_FACE,CRITICAL,No face detected in frame
21:08:00,378.5,NO_FACE,CRITICAL,No face detected in frame
21:08:03,381.6,NO_FACE,CRITICAL,No face detected in frame
21:08:06,384.8,NO_FACE,CRITICAL,No face detected in frame
21:08:09,387.8,NO_FACE,CRITICAL,No face detected in frame
21:08:12,390.9,NO_FACE,CRITICAL,No face detected in frame
21:08:16,394.1,NO_FACE,CRITICAL,No face detected in frame
21:08:19,397.2,NO_FACE,CRITICAL,No face detected in frame
21:08:22,400.4,NO_FACE,CRITICAL,No face detected in frame
21:08:25,403.6,NO_FACE,CRITICAL,No face detected in frame
21:08:28,406.8,NO_FACE,CRITICAL,No face detected in frame
21:08:31,410.0,NO_FACE,CRITICAL,No face detected in frame
21:08:35,413.1,NO_FACE,CRITICAL,No face detected in frame
21:08:38,416.4,NO_FACE,CRITICAL,No face detected in frame
21:08:41,419.4,NO_FACE,CRITICAL,No face detected in frame
21:08:44,422.6,NO_FACE,CRITICAL,No face detected in frame
21:08:47,425.7,NO_FACE,CRITICAL,No face detected in frame
21:08:50,428.9,NO_FACE,CRITICAL,No face detected in frame
21:08:53,432.0,NO_FACE,CRITICAL,No face detected in frame
21:08:57,435.1,NO_FACE,CRITICAL,No face detected in frame
21:09:00,438.2,NO_FACE,CRITICAL,No face detected in frame
