timestamp,elapsed_sec,event_type,severity,message
21:40:57,68.2,SESSION_START,INFO,Proctoring session started.
21:41:58,129.4,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:42:04,135.0,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:42:44,175.0,PHONE_DETECTED,CRITICAL,Mobile phone detected!
21:42:49,180.6,PHONE_DETECTED,CRITICAL,Mobile phone detected!
21:44:16,267.8,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:44:51,302.7,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:47:01,432.7,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:50:53,664.6,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:51:08,678.9,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:51:14,685.7,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:51:43,714.1,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:51:48,719.5,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:51:54,725.0,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:53:54,845.1,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:53:59,850.2,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:54:04,855.3,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:54:11,862.5,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:54:18,869.6,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:54:25,876.2,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:54:31,882.7,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:54:38,889.5,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:54:44,895.8,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:54:51,902.1,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:54:57,908.4,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:56:30,1001.1,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:56:35,1006.6,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:56:41,1012.0,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:56:46,1017.4,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:56:52,1023.0,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:56:57,1028.6,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
21:59:56,1207.2,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
22:01:12,1283.8,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
22:01:20,1291.5,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
22:01:29,1300.8,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
22:01:37,1308.0,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
22:01:45,1316.4,MULTIPLE_PERSONS,CRITICAL,Multiple persons detected
